,RNN Accuracy,NRNN Accuracy,LSTM Accuracy,Seed,Method,Specify
0,0.7946127946127947,0.7441077441077442,0.4478114478114478,1,No noise,
1,0.8114478114478114,0.8047138047138047,0.4478114478114478,2,No noise,
2,0.8013468013468014,0.7474747474747475,0.4478114478114478,3,No noise,
3,0.5218855218855218,0.5218855218855218,0.4781144781144781,1,basic,0.1
4,0.5252525252525253,0.5252525252525253,0.4781144781144781,2,basic,0.1
5,0.5252525252525253,0.5218855218855218,0.4781144781144781,3,basic,0.1
6,0.5218855218855218,0.5387205387205387,0.5353535353535354,1,basic,0.5
7,0.5353535353535354,0.5353535353535354,0.5353535353535354,2,basic,0.5
8,0.5353535353535354,0.5151515151515151,0.5353535353535354,3,basic,0.5
9,0.5286195286195287,0.5286195286195287,0.4983164983164983,1,basic,0.9
10,0.5420875420875421,0.5218855218855218,0.4983164983164983,2,basic,0.9
11,0.5488215488215489,0.5117845117845118,0.4983164983164983,3,basic,0.9
12,0.7845117845117845,0.7811447811447811,0.4444444444444444,1,class,"(0.2, 0.2)"
13,0.7845117845117845,0.7845117845117845,0.4444444444444444,2,class,"(0.2, 0.2)"
14,0.7811447811447811,0.7845117845117845,0.4444444444444444,3,class,"(0.2, 0.2)"
15,0.7912457912457912,0.7912457912457912,0.7912457912457912,1,class,"(0.2, 0.8)"
16,0.7912457912457912,0.7912457912457912,0.7912457912457912,2,class,"(0.2, 0.8)"
17,0.7912457912457912,0.7946127946127947,0.7912457912457912,3,class,"(0.2, 0.8)"
18,0.8047138047138047,0.8047138047138047,0.19528619528619529,1,class,"(0.8, 0.2)"
19,0.8047138047138047,0.8047138047138047,0.19528619528619529,2,class,"(0.8, 0.2)"
20,0.8047138047138047,0.8047138047138047,0.19528619528619529,3,class,"(0.8, 0.2)"
21,0.7609427609427609,0.7306397306397306,0.6127946127946128,1,class,"(0.8, 0.8)"
22,0.7441077441077442,0.7508417508417509,0.6127946127946128,2,class,"(0.8, 0.8)"
23,0.7474747474747475,0.7407407407407407,0.6127946127946128,3,class,"(0.8, 0.8)"
24,0.6026936026936027,0.6026936026936027,0.39730639730639733,1,time,transmat1
25,0.6026936026936027,0.6026936026936027,0.39730639730639733,2,time,transmat1
26,0.6026936026936027,0.6026936026936027,0.39730639730639733,3,time,transmat1
27,0.9865319865319865,0.98989898989899,0.7811447811447811,1,time,transmat2
28,0.9865319865319865,0.98989898989899,0.7811447811447811,2,time,transmat2
29,0.9865319865319865,0.98989898989899,0.7811447811447811,3,time,transmat2
30,0.9764309764309764,0.9663299663299664,0.3939393939393939,1,time,transmat3
31,0.9797979797979798,0.9696969696969697,0.3939393939393939,2,time,transmat3
32,0.9730639730639731,0.9696969696969697,0.3939393939393939,3,time,transmat3
